g n P(success) P(failure) AvailVertex
5 1000 1 0 0.0536 inf
5 200 1 0 0.00345 inf
5 100 1 0 0.0013 inf
5 70 1 0 0.000871 inf
5 50 1 0 0.000617 inf
5 30 1 0 0.000395 inf
5 20 1 0 0.0004 inf
5 15 0.75 0.25 0.000861 33.4
5 10 0 1 0.00143 8
6 1000 1 0 0.0459 inf
6 200 1 0 0.00297 inf
6 100 1 0 0.00116 inf
6 70 1 0 0.00075 inf
6 50 1 0 0.000519 inf
6 30 1 0 0.000372 inf
6 20 0.88 0.12 0.000725 106
6 15 0.13 0.87 0.0019 12.3
6 10 0 1 0.0012 10
7 1000 1 0 0.04 inf
7 200 1 0 0.00271 inf
7 100 1 0 0.00105 inf
7 70 1 0 0.000708 inf
7 50 1 0 0.000591 inf
7 30 1 0 0.000494 inf
7 20 0.1 0.9 0.00254 16.7
7 15 0 1 0.00203 13
7 10 0 1 0.00119 10
8 1000 1 0 0.0358 inf
8 200 1 0 0.00241 inf
8 100 1 0 0.00102 inf
8 70 1 0 0.000633 inf
8 50 1 0 0.000506 inf
8 30 0.59 0.41 0.00217 52.8
8 20 0 1 0.00273 16.7
8 15 0 1 0.00183 15
8 10 0 1 0.00119 10
9 1000 1 0 0.0318 inf
9 200 1 0 0.00216 inf
9 100 1 0 0.000919 inf
9 70 1 0 0.000651 inf
9 50 0.95 0.05 0.000982 742
9 30 0.46 0.54 0.00256 44.4
9 20 0 1 0.00267 18
9 15 0 1 0.00182 15
9 10 0 1 0.00119 10
10 1000 1 0 0.0292 inf
10 200 1 0 0.00211 inf
10 100 1 0 0.000825 inf
10 70 1 0 0.000675 inf
10 50 0.91 0.09 0.00132 431
10 30 0.04 0.96 0.00408 26.4
10 20 0 1 0.00312 18
10 15 0 1 0.00183 15
10 10 0 1 0.00119 10
11 1000 1 0 0.0267 inf
11 200 1 0 0.00186 inf
11 100 1 0 0.000803 inf
11 70 1 0 0.000675 inf
11 50 0.94 0.06 0.0012 675
11 30 0.1 0.9 0.00391 28.7
11 20 0 1 0.00249 20
11 15 0 1 0.00182 15
11 10 0 1 0.00119 10
12 1000 1 0 0.025 inf
12 200 1 0 0.00191 inf
12 100 1 0 0.000783 inf
12 70 0.93 0.07 0.00158 815
12 50 0.68 0.32 0.00298 129
12 30 0 1 0.0043 26.9
12 20 0 1 0.00249 20
12 15 0 1 0.00182 15
12 10 0 1 0.00119 10
13 1000 1 0 0.0234 inf
13 200 1 0 0.00169 inf
13 100 1 0 0.000897 inf
13 70 0.93 0.07 0.00166 836
13 50 0.23 0.77 0.00627 55.2
13 30 0 1 0.00411 28
13 20 0 1 0.00249 20
13 15 0 1 0.00182 15
13 10 0 1 0.00119 10
14 1000 1 0 0.0218 inf
14 200 1 0 0.00168 inf
14 100 1 0 0.000997 inf
14 70 0.82 0.18 0.00309 327
14 50 0.47 0.53 0.00449 82.2
14 30 0 1 0.00422 28
14 20 0 1 0.00248 20
14 15 0 1 0.00182 15
14 10 0 1 0.00119 10
